# T  <magnetization>  <energy/spin>  specific_heat/spin
5.000000 0.000268 -0.421327 0.000022
4.950000 0.001065 -0.425462 0.000023
4.900000 -0.000612 -0.429719 0.000023
4.850000 0.000211 -0.436345 0.000024
4.800000 -0.000696 -0.439549 0.000027
4.750000 0.000348 -0.445197 0.000025
4.700000 -0.000932 -0.451439 0.000029
4.650000 -0.001298 -0.456719 0.000027
4.600000 -0.002781 -0.464661 0.000030
4.550000 -0.000179 -0.468862 0.000027
4.500000 -0.002186 -0.475135 0.000031
4.450000 0.002842 -0.480872 0.000030
4.400000 0.003637 -0.487947 0.000031
4.350000 0.003964 -0.495299 0.000032
4.300000 0.004627 -0.500657 0.000034
4.250000 0.001805 -0.509089 0.000035
4.200000 -0.004575 -0.516374 0.000035
4.150000 0.001607 -0.525010 0.000037
4.100000 -0.000725 -0.532439 0.000038
4.050000 -0.000230 -0.538966 0.000040
4.000000 -0.005320 -0.549158 0.000045
3.950000 0.002911 -0.555842 0.000041
3.900000 -0.000480 -0.563977 0.000045
3.850000 -0.000352 -0.573151 0.000047
3.800000 -0.002068 -0.583229 0.000049
3.750000 0.005296 -0.591970 0.000048
3.700000 -0.004930 -0.605136 0.000049
3.650000 0.003150 -0.612816 0.000045
3.600000 -0.005541 -0.623276 0.000054
3.550000 -0.001346 -0.636839 0.000054
3.500000 0.003947 -0.645815 0.000056
3.450000 0.002917 -0.660663 0.000053
3.400000 0.005759 -0.674041 0.000070
3.350000 0.009160 -0.687848 0.000061
3.300000 -0.003449 -0.701966 0.000072
3.250000 0.007894 -0.715542 0.000071
3.200000 0.003821 -0.732707 0.000080
3.150000 0.004101 -0.743190 0.000084
3.100000 -0.010604 -0.764519 0.000081
3.050000 -0.004176 -0.783626 0.000085
3.000000 -0.003210 -0.800276 0.000106
2.950000 -0.003960 -0.819402 0.000091
2.900000 0.008699 -0.839604 0.000109
2.850000 0.011192 -0.863631 0.000119
2.800000 0.006413 -0.884959 0.000141
2.750000 0.001050 -0.912442 0.000121
2.700000 0.023777 -0.944930 0.000136
2.650000 -0.004991 -0.962303 0.000138
2.600000 -0.005837 -1.003604 0.000187
2.550000 0.039280 -1.042033 0.000178
2.500000 0.014414 -1.083490 0.000165
2.450000 -0.014153 -1.113275 0.000238
2.400000 -0.057823 -1.155787 0.000235
2.350000 -0.039039 -1.218050 0.000188
2.300000 0.304263 -1.296120 0.000253
2.250000 -0.198542 -1.355909 0.000339
2.200000 -0.680642 -1.459779 0.000325
2.150000 -0.769015 -1.530986 0.000253
2.100000 -0.819178 -1.590669 0.000249
2.050000 -0.843867 -1.634113 0.000188
2.000000 -0.878255 -1.683238 0.000172
1.950000 -0.892658 -1.715533 0.000163
1.900000 -0.917596 -1.751481 0.000155
1.850000 -0.929174 -1.779495 0.000140
1.800000 -0.941926 -1.808301 0.000100
1.750000 -0.949468 -1.828135 0.000117
1.700000 -0.960845 -1.853518 0.000082
1.650000 -0.965877 -1.866774 0.000086
1.600000 -0.971241 -1.883736 0.000079
1.550000 -0.977931 -1.899460 0.000060
1.500000 -0.981447 -1.910176 0.000063
1.450000 -0.985425 -1.921534 0.000046
1.400000 -0.988041 -1.929994 0.000038
1.350000 -0.990415 -1.937236 0.000035
1.300000 -0.992905 -1.945004 0.000026
1.250000 -0.994006 -1.949233 0.000024
1.200000 -0.995713 -1.954419 0.000017
1.150000 -0.996812 -1.957986 0.000015
1.100000 -0.997565 -1.960622 0.000012
1.050000 -0.998307 -1.963046 0.000010
1.000000 -0.998875 -1.964938 0.000007
0.950000 -0.999275 -1.966326 0.000005
0.900000 -0.999453 -1.967048 0.000004
0.850000 -0.999677 -1.967671 0.000003
0.800000 -0.999814 -1.968132 0.000002
0.750000 -0.999918 -1.968479 0.000001
0.700000 -0.999953 -1.968599 0.000001
0.650000 -0.999973 -1.968668 0.000000
0.600000 -0.999994 -1.968728 0.000000
0.550000 -0.999996 -1.968738 0.000000
0.500000 -0.999999 -1.968747 0.000000
0.450000 -1.000000 -1.968750 0.000000
0.400000 -1.000000 -1.968750 0.000000
0.350000 -1.000000 -1.968750 0.000000
0.300000 -1.000000 -1.968750 0.000000
0.250000 -1.000000 -1.968750 0.000000
0.200000 -1.000000 -1.968750 0.000000
0.150000 -1.000000 -1.968750 0.000000
0.100000 -1.000000 -1.968750 0.000000
0.050000 -1.000000 -1.968750 0.000000
